Features;2783346.txt;9635227.txt;3301012.txt;1647088.txt;2783355.txt;9463417.txt;3297141.txt;8775019.txt;2940088.txt;3303047.txt
cyberlink media suite;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO
digital media reader;NO;NO;NO;NO;NO;YES;YES;NO;NO;YES
8gb nand flash memory;NO;NO;NO;NO;NO;YES;NO;YES;NO;NO
simple data entry;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO
protectsmart hard drive protection guards;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO
island-style keyboard;NO;NO;NO;NO;NO;NO;YES;YES;NO;YES
17.3 wled-backlit hd;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO
horizontal brush design in natural silver;NO;NO;NO;NO;NO;NO;YES;NO;NO;YES
ash silver cover;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO
4g lte speed;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
snow white finish;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
2-in-1 design;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
wi-fi hotspot;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
64-bit operating system;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
tablet mode;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
13.3 touch screen;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
wirelessly stream entertainment;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
wireless service contract;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
integrated dual digital microphones;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
use in tablet mode;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO
flexible connectivity options;NO;NO;NO;NO;NO;NO;NO;NO;YES;YES
play games;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO
stable computing platform;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO
secure digital formats;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO
digital 3d models;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO
easy typing in low-light conditions;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO
dual beatsaudio speakers;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO
ash silver keyboard dock;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES
operating system;microsoft windows 8.1;microsoft windows 8.1 64-bit;microsoft windows 8.1 64-bit;microsoft windows 8.1 64-bit;microsoft windows 8.1;microsoft windows 8.1 64-bit;microsoft windows 8.1 64-bit;microsoft windows 8.1 64-bit;microsoft windows 8.1;microsoft windows 8.1 64-bit
touch screen display;15.6 wled-backlit high-definition;15.6 led-backlit high-definition capacitive;;15.6 wled-backlit high-definition;17.3 wled-backlit high-definition;17.3 wled-backlit high-definition;;13.3 wled-backlit high-definition;15.6 high-definition;
resolution;1920 x 1080;1366 x 768;1366 x 768;1920 x 1080;1600 x 900;1600 x 900;1600 x 900;1366 x 768;1920 x 1080;1366 x 768
port;3.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0;1;2.0
usb;3;2.0;2.0;2.0;2.0;;2.0;;;2.0
hd graphic;4600;4400;4600;4400;4400;4600;4400;4200;5500;4400
lb;5.74;5.3;5.7;5.29;6.91;7.1;6.23;;5.9;5.02
wireless lan;built-in 1x1 high-speed;built-in 1x1 high-speed;built-in high-speed;;built-in 1x1 high-speed;built-in 1x1 high-speed;built-in 1x1 high-speed;built-in 1x1 high-speed;built-in 1x1;built-in 1x1 high-speed
ghz;3.6;;;3.1;;3.5;2.7;;2.7;3.1
hard drive;1tb;500gb;;1tb;500gb;;;500gb;1tb;
superspeed usb;;1;;;;;;2;3;
ghz processor speed;2.6;1.7;2.6;2.0;1.7;2.5;1.7;1.5;2.2;2.0
high speed wireless lan;;;built-in;2x2;;;;;;
turbo boost;up to 3.6 ghz;;;up to 3.1 ghz;;up to 3.5 ghz;up to 2.7 ghz;;up to 2.7 ghz;up to 3.1 ghz
total video memory;1792mb;;1792mb;;;1792mb;1792mb;;3839mb;1792mb
touch screen;15.6 wled-backlit;15.6 capacitive;15.6 capacitive;15.6 wled-backlit;17.3 wled-backlit;17.3 high-definition;;;;
drive;hard;hard;750gb hard;hard;hard;1tb hard;750gb hard;hard;hard;750gb hard
cyberlink;photodirector;;;;photodirector;photodirector;;photodirector;;
display;wled-backlit high-definition touch-screen;led-backlit high-definition capacitive touch-screen;;wled-backlit high-definition touch-screen;wled-backlit high-definition touch-screen;wled-backlit high-definition touch-screen;;wled-backlit high-definition touch-screen;high-definition touch-screen;wled-backlit high-definition
memory;8gb ddr3l sdram;4gb ddr3l sdram;8gb ddr3l sdram;8gb ddr3l;6gb ddr3l sdram;12gb ddr3l sdram;4gb ddr3l sdram;4gb ddr3l sdram;8gb ddr3l sdram;6gb ddr3l sdram
ethernet lan;1000base-t gigabit;100base-t;;;100base-t;;100base-t;;;100base-t
connectivity;flexible;flexible;flexible;flexible;flexible;;simple;flexible;;
lighting;dim;;;dim;;low;;;;
media reader;multiformat;multiformat;multiformat;;multiformat;;;multiformat;multiformat digital;
high definition;;;;;;front-facing hp truevision;built-in front-facing truevision;built-in front-facing hp truevision;;
support;;;sd format;;;sd format;sd format;;;sd format
detail;rich;intricate;;rich;rich;crisp;crisp;sharp;intense;
truevision;;;;;;;front-facing;front-facing hp;;
touchsmart;;hp;hp envy;;;;;;;
gen;4th;4th;4th;4th;4th;4th;4th;4th;5th;4th
navigation;web;web;simple;web;web;web;web;web;easy;web
processor;cents i7-4720hq;cents i3;cents i5-4210m;cents i7;cents i3;cents i7;cents i5;cents i3;cents i5-5200u;cents i7
hp;protectsmart;touchsmart;;;protectsmart;;;protectsmart;protectsmart;protectsmart
laptop;hp envy 15-k220nr;;;hp 15-u011dx;hp pavilion 17-f140nr;hp envy 17-j140us;;;hp envy 15-v010nr;
technology;;brightview;brightview;;;brightview;brightview;broadband;;brightview
web;access;connection;content;;access;connection;connection;;connection;connection
boost;turbo;;;turbo;;turbo;turbo;;turbo;turbo
connection;;web;web;;;simple;web;;web;web
finish;;;;;;;hp texture linear;;;textured linear
hp pavilion;;;;;17-f140nr laptop;;gsrf-17-f113dx laptop;x2 13-r100dx laptop;;gsrf-15-p100dx laptop
microphone;;integrated digital;;;;integrated dual-array digital;integrated dual-array digital;;;integrated dual-array digital
wireless pairing;;;simple;;;easy;;;;
platform;stable;stable;stable;stable;stable;stable;stable;stable;;stable
clarity;;;striking;;;stunning;stunning;;;striking
cache;6mb;3mb l3;3mb l3;4mb;3mb;6mb;;3mb l3;3mb;
